Epoch,Train Loss,Validation Loss
1,0.0002514616922480422,9.874633207666058e-05
2,9.342228983867029e-05,8.182165432420636e-05
3,8.005828867522894e-05,7.375947861874011e-05
4,7.32651390311412e-05,6.89270104009699e-05
5,6.901103053916701e-05,6.657884396190638e-05
