Epoch,Train Loss,Validation Loss
1,0.00026733466846550917,0.0001025549939960776
2,9.605582946068724e-05,8.62334714232323e-05
3,8.286646983211847e-05,8.092172543170077e-05
4,7.616350751960598e-05,7.358201130921737e-05
5,7.177913131971082e-05,7.057325573677426e-05
